p1name,p1pos,p1type,p2name,p2pos,p2type,time
Danton Heinen,Left Wing,Forward,Brad Marchand,Left Wing,Forward,135
Anders Bjork,Left Wing,Forward,David Krejci,Center,Forward,138
Par Lindholm,Center,Forward,Chris Wagner,Right Wing,Forward,144
David Pastrnak,Right Wing,Forward,Charlie Coyle,Center,Forward,144
Danton Heinen,Left Wing,Forward,Jake DeBrusk,Left Wing,Forward,148
Brad Marchand,Left Wing,Forward,Jake DeBrusk,Left Wing,Forward,164
Patrice Bergeron,Center,Forward,Jake DeBrusk,Left Wing,Forward,165
Brad Marchand,Left Wing,Forward,Charlie Coyle,Center,Forward,166
Jake DeBrusk,Left Wing,Forward,Karson Kuhlman,Center,Forward,168
David Krejci,Center,Forward,Karson Kuhlman,Center,Forward,169
Charlie Coyle,Center,Forward,Brett Ritchie,Right Wing,Forward,170
Charlie Coyle,Center,Forward,David Krejci,Center,Forward,192
Brad Marchand,Left Wing,Forward,David Krejci,Center,Forward,196
Danton Heinen,Left Wing,Forward,Anders Bjork,Left Wing,Forward,197
Sean Kuraly,Center,Forward,Anders Bjork,Left Wing,Forward,215
David Pastrnak,Right Wing,Forward,Jake DeBrusk,Left Wing,Forward,249
David Krejci,Center,Forward,Danton Heinen,Left Wing,Forward,259
David Pastrnak,Right Wing,Forward,David Krejci,Center,Forward,271
Jake DeBrusk,Left Wing,Forward,Charlie Coyle,Center,Forward,347
Joakim Nordstrom,Center,Forward,Chris Wagner,Right Wing,Forward,360
Joakim Nordstrom,Center,Forward,Sean Kuraly,Center,Forward,384
Charlie Coyle,Center,Forward,Danton Heinen,Left Wing,Forward,384
Anders Bjork,Left Wing,Forward,Charlie Coyle,Center,Forward,428
David Krejci,Center,Forward,Jake DeBrusk,Left Wing,Forward,533
Chris Wagner,Right Wing,Forward,Sean Kuraly,Center,Forward,533
Patrice Bergeron,Center,Forward,David Pastrnak,Right Wing,Forward,955
Patrice Bergeron,Center,Forward,Brad Marchand,Left Wing,Forward,1077
Brad Marchand,Left Wing,Forward,David Pastrnak,Right Wing,Forward,1111
